,Longitude,Latitude,0m,20m,50m,100m,200m,500m,Cruise,Station,Type,Year,Month,Day,Hour,Minute,Second,Depth,Temp,WOA_September_(15.09),WOA_October_(15.10),Grad/day,Mean_for_station_(certain_date),Anomaly,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
30,151.5,43.67,17.150072415153,9.5301648500197,3.3041714187894,1.919829134789,2.8764775441284,3.2320019329936,Safonov_20,46,Rinko_ASTD,2020,10,9,9,59,0,0,15.165,,,,,,,,,,
31,149.38,43.85,17.596857230238,11.963703700191,3.0693574518017,1.1398881621833,2.6481527085406,3.2128339795837,Safonov_20,27,Rinko_ASTD,2020,10,2,22,39,0,0,13.527999999999999,,,,,,,,,,
32,150.28,43.92,14.562948162392,11.502042681472,3.2174198119044,2.1614697835828,2.4380704742126,3.5080097527209,Safonov_20,29,Rinko_ASTD,2020,10,3,16,12,0,0,14.04,,,,,,,,,,
33,148.07,44.07,14.627355795232,12.341931126855,2.7589359437403,1.2083510872041,2.126993895672,2.8216127746523,Safonov_20,55,Rinko_ASTD,2020,10,12,9,36,0,0,11.564,,,,,,,,,,
34,148.57,44.07,15.822390288433,14.280136056935,2.9790743385189,1.2951073589493,2.3906136812356,3.076305417779,Safonov_20,25,Rinko_ASTD,2020,10,1,19,42,0,0,13.815,15.82239029,11.6271809,-0.139840313,13.58494528,0.230054719,14.28013606,2.979074339,1.295107359,2.390613681,3.076305418
35,150.05,44.13,15.238100781053,12.560847709329,3.3403967894101,1.8078241977291,2.6573115385683,3.4308909550783,Safonov_20,28,Rinko_ASTD,2020,10,3,13,42,0,0,13.997,,,,,,,,,,
36,148.98,44.15,16.307935253798,14.614921604374,3.3977142333197,1.483342980281,2.6595184040926,3.2738965867455,Safonov_20,54,Rinko_ASTD,2020,10,11,20,39,0,0,13.981,,,,,,,,,,
37,150.72,44.18,13.598285682898,12.269520433674,3.0799615173348,2.0097132513651,2.7554373815314,3.369920293939,Safonov_20,51,Rinko_ASTD,2020,10,10,23,13,0,0,14.337,,,,,,,,,,
38,151.57,44.2,17.17168563216,10.186077883018,3.7571062579619,1.7440541812969,2.9076450699497,3.312771018176,Safonov_20,50,Rinko_ASTD,2020,10,10,16,25,0,0,13.95,,,,,,,,,,
39,152.47,44.2,15.357212852886,12.305387602617,3.9502479195488,1.7130216030419,2.6461585225595,3.2589678728923,Safonov_20,48,Rinko_ASTD,2020,10,9,21,19,0,0,14.025,,,,,,,,,,
40,152.08,44.4,15.908616279451,11.556989236035,3.0168452801858,1.3286196180296,2.6887330135702,3.3104537728778,Safonov_20,49,Rinko_ASTD,2020,10,10,12,23,0,0,14.255999999999998,,,,,,,,,,
41,149.47,44.45,13.77078036555,12.236382128652,3.6497027201781,1.7953321543001,2.7458972019113,3.3838332408868,Safonov_20,53,Rinko_ASTD,2020,10,11,17,4,0,0,13.970999999999998,,,,,,,,,,
42,150.28,44.45,14.733110480193,13.671512036073,3.507013836023,1.8218508219404,2.7534368182791,3.4130938273632,Safonov_20,52,Rinko_ASTD,2020,10,11,12,6,0,0,11.019,,,,,,,,,,
43,150.47,44.58,14.482512012478,12.714561617325,3.7183541604154,1.9002956365418,2.8154417191661,3.3476420152698,Safonov_20,23,Rinko_ASTD,2020,9,30,13,40,0,0,14.279000000000002,14.48251201,,,,,12.71456162,3.71835416,1.900295637,2.815441719,3.347642015
44,152.62,44.67,16.328328906809,13.012849549574,2.8248283565177,1.2841176628335,2.6501183048519,3.2451088322621,Safonov_20,18,Rinko_ASTD,2020,9,26,9,32,0,0,15.450999999999999,16.32832891,,,,,13.01284955,2.824828357,1.284117663,2.650118305,3.2451088319999997
45,148.87,44.73,13.796457095382,13.568877676185,3.84834665793,1.6752004233883,2.6323411425569,3.2250840629096,Safonov_20,24,Rinko_ASTD,2020,9,30,22,29,0,0,12.495,13.7964571,,,,,13.56887768,3.848346658,1.6752004230000002,2.632341143,3.225084063
46,150.52,44.88,11.236780648973,9.7173077023874,3.332751625957,2.1116142671794,2.6019962059934,2.9204918622943,Safonov_20,22,Rinko_ASTD,2020,9,29,19,33,0,0,14.089,11.23678065,,,,,9.717307702000001,3.3327516260000003,2.1116142669999998,2.601996206,2.920491862
47,152.12,44.92,15.311839652487,12.000469323303,3.087372662257,1.4526540907986,2.6081558350803,3.2868731050889,Safonov_20,19,Rinko_ASTD,2020,9,26,14,5,0,0,15.549000000000001,15.31183965,,,,,12.00046932,3.087372662,1.4526540909999999,2.608155835,3.286873105
48,149.53,45.0,9.3911211310743,8.9202600845806,3.8223901250422,2.3109527579922,2.5144750305565,3.2932758172667,Safonov_20,20,Rinko_ASTD,2020,9,29,9,22,0,0,12.533,9.386294816,,,,,8.908801155,3.82175436,2.311237371,2.510613662,3.285815157
49,149.82,45.17,9.1029944922918,8.1617464821124,3.7138035980749,2.4267382894876,2.4853833177553,3.1033278762204,Safonov_20,21,Rinko_ASTD,2020,9,29,14,0,0,0,9.503,9.102994492,,,,,8.161746482,3.713803598,2.426738289,2.4853833180000002,3.1033278760000003
